entry_time,exit_time,trade_type,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_currency,account_balance,result,setup_type,trigger_level
2025-02-18 21:33:00,2025-02-18 21:34:00,sell,1.04482,1.04454,1.04454,1.04426,560536.344836175,156.9501765541615,15851.967831970309,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:34:00,2025-02-18 21:35:00,sell,1.04483,1.04454,1.04454,1.0442500000000001,546619.5804129551,158.51967831970313,16010.487510290011,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:35:00,2025-02-18 21:36:00,sell,1.04479,1.04454,1.04454,1.04429,640419.5004113866,160.1048751029001,16170.59238539291,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:36:00,2025-02-18 21:37:00,sell,1.04482,1.04454,1.04454,1.04426,577521.1566210558,161.7059238539291,16332.29830924684,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:40:00,2025-02-18 21:57:00,sell,1.0448,1.0444799999999996,1.04496,1.0444799999999996,1020768.6443269067,326.6459661849368,16658.94427543178,win,MSS - Bearish,Break of HL at 1.04484
2025-02-18 21:57:00,2025-02-18 23:06:00,sell,1.0444,1.04486,1.04486,1.0434800000000002,362150.96250946133,-166.5894427543178,16492.35483267746,loss,MSS - Bearish,Break of HL at 1.04484
2025-02-19 08:00:00,2025-02-19 09:12:00,buy,1.04562,1.04531,1.04531,1.04624,532011.4462153462,-164.9235483267746,16327.431284350687,loss,MSS - Bullish,Break of LH at 1.04482
2025-02-19 09:14:00,2025-02-19 09:18:00,buy,1.04536,1.0455800000000002,1.04525,1.0455800000000002,1484311.9349402362,326.5486256870137,16653.979910037702,win,MSS - Bullish,Break of LH at 1.04482
2025-02-19 09:18:00,2025-02-19 09:26:00,buy,1.04572,1.04525,1.04525,1.04666,354339.9980859308,-166.53979910037702,16487.440110937325,loss,MSS - Bullish,Break of LH at 1.04482
2025-02-19 09:33:00,2025-02-19 09:34:00,buy,1.04511,1.04525,1.04525,1.04539,1177674.2936381365,164.87440110937325,16652.314512046698,loss,MSS - Bullish,Break of LH at 1.04482
2025-02-19 09:34:00,2025-02-19 09:35:00,buy,1.04495,1.04525,1.04525,1.04555,555077.1504016177,166.52314512046698,16818.837657167165,loss,MSS - Bullish,Break of LH at 1.04482
2025-02-19 09:35:00,2025-02-19 09:36:00,buy,1.04501,1.04525,1.04525,1.04549,700784.9023819127,168.18837657167165,16987.026033738835,loss,MSS - Bullish,Break of LH at 1.04482
